timestamp,bead_x,bead_y,bead_z
172.529175,-0.000542,-0.030826,0.126083
172.533325,-0.000513,-0.021383,0.115867
172.537476,-0.000067,-0.008079,0.107069
172.541748,0.000418,0.007664,0.101846
172.545898,0.000819,0.019639,0.101627
172.550049,0.000969,0.030504,0.105273
172.554199,0.001104,0.039035,0.111644
172.55835,0.001083,0.040509,0.11916
172.5625,0.001416,0.037843,0.126841
172.56665,0.001313,0.034827,0.133786
172.570801,0.000768,0.026338,0.138895
172.575073,0.000788,0.011553,0.140423
172.579224,0.000413,-0.002289,0.137446
172.583374,-0.000495,-0.014509,0.129931
172.587524,-0.000598,-0.028325,0.120285
172.591675,-0.000777,-0.038151,0.110664
172.595825,-0.00133,-0.041103,0.103868
172.599976,-0.001176,-0.039545,0.102175
172.604248,-0.000675,-0.040777,0.107859
172.608398,-0.001184,-0.042284,0.119523
172.612549,-0.001263,-0.039386,0.132098
172.616699,-0.000656,-0.039321,0.139953
172.62085,-0.0011,-0.041779,0.140669
172.625,-0.001208,-0.038485,0.135282
172.62915,-0.000332,-0.030824,0.126171
172.633301,-0.000367,-0.021662,0.115965
172.637573,-0.000405,-0.008064,0.107095
172.641724,0.000588,0.007761,0.101847
172.645874,0.000981,0.019519,0.101581
172.650024,0.000765,0.030333,0.105216
172.654175,0.001275,0.039155,0.1116
172.658325,0.001408,0.04044,0.119112
172.662476,0.001086,0.037763,0.126839
172.666748,0.001266,0.034859,0.133786
172.670898,0.001154,0.026454,0.138897
172.675049,0.000646,0.011655,0.140448
172.679199,0.000349,-0.002257,0.137484
172.68335,-0.000177,-0.014365,0.12998
172.6875,-0.000732,-0.028364,0.120324
172.69165,-0.001013,-0.038067,0.110723
172.695801,-0.001208,-0.040909,0.103927
172.700073,-0.001011,-0.039641,0.102209
172.704224,-0.000854,-0.040936,0.107842
172.708374,-0.00126,-0.04217,0.119482
172.712524,-0.001051,-0.039292,0.132051
172.716675,-0.000753,-0.039479,0.139958
172.720825,-0.001279,-0.041857,0.140693
172.724976,-0.001047,-0.038218,0.135337
172.729248,-0.000302,-0.030797,0.126216
172.733398,-0.000512,-0.021975,0.116009
172.737549,-0.000246,-0.008056,0.107111
172.741699,0.000549,0.007874,0.101857
172.74585,0.000873,0.019299,0.101608
172.75,0.000913,0.030433,0.105252
172.75415,0.001199,0.039269,0.111628
172.758301,0.001173,0.040461,0.119184
172.762573,0.001222,0.037725,0.126872
172.766724,0.001276,0.034991,0.133815
172.770874,0.000872,0.026619,0.138973
172.775024,0.000665,0.011697,0.140482
172.779175,0.000507,-0.002181,0.137497
172.783325,-0.00025,-0.014167,0.129986
172.787476,-0.000658,-0.028326,0.120348
172.791748,-0.000907,-0.038259,0.110708
172.795898,-0.001415,-0.041141,0.103873
172.800049,-0.001222,-0.039636,0.102138
172.804199,-0.000763,-0.040878,0.107765
172.80835,-0.001321,-0.042332,0.119379
172.8125,-0.001226,-0.039357,0.131971
172.81665,-0.000649,-0.039277,0.139933
172.820801,-0.001219,-0.041837,0.140711
172.825073,-0.001192,-0.038463,0.135377
172.829224,-0.000307,-0.030828,0.126272
172.833374,-0.000472,-0.021925,0.116103
172.837524,-0.000276,-0.008136,0.107187
172.841675,0.000632,0.007851,0.101915
172.845825,0.000806,0.0193,0.101597
172.849976,0.000823,0.030199,0.105214
172.854248,0.001336,0.039129,0.111581
172.858398,0.001269,0.040309,0.11911
172.862549,0.001119,0.037663,0.126844
172.866699,0.001328,0.034973,0.133773
172.87085,0.000926,0.026595,0.138938
172.875,0.000625,0.011768,0.140484
172.87915,0.000579,-0.001995,0.137556
172.883301,-0.000167,-0.01414,0.130093
172.887573,-0.000694,-0.028309,0.120448
172.891724,-0.000924,-0.038173,0.11082
172.895874,-0.001307,-0.040785,0.103973
172.900024,-0.001099,-0.039523,0.102168
172.904175,-0.000791,-0.041274,0.107821
172.908325,-0.00128,-0.042286,0.119408
172.912476,-0.001027,-0.03886,0.132021
172.916748,-0.00072,-0.039533,0.139981
172.920898,-0.001213,-0.042154,0.14077
